p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,predicted,elapsed_sec
32,100, , ,8,8,10,disabled,cores,2.43802,1.1394121374728372,44.295106410980225
32,200,#pragma clang loop unrolling full, ,256,64,200,balanced,cores,2.35229,1.1429249340304235,87.0515456199646
48,200,#pragma clang loop unrolling full,#pragma omp parallel for,64,256,64,balanced,cores,2.36834,1.1469416431448014,132.6989450454712
48,200, , ,96,64,10,disabled,sockets,2.361155,1.1501667249472662,178.67918872833252
32,100, ,#pragma omp parallel for,16,64,100,balanced,cores,2.442695,1.1603325838945913,223.57538723945618
32,200, , ,256,32,128,balanced,cores,2.34739,1.1638924015230674,266.6670515537262
32,200, , ,96,4,100,balanced,cores,2.339965,1.1661102886737198,311.24730706214905
48,200, ,#pragma omp parallel for,256,32,128,balanced,cores,2.3570900000000004,1.1662272656866817,356.4072992801666
32,200,#pragma clang loop unrolling full,#pragma omp parallel for,16,4,20,balanced,sockets,2.337295,1.1742530166638137,400.85108733177185
48,100,#pragma clang loop unrolling full,#pragma omp parallel for,128,64,80,disabled,cores,2.3689349999999996,1.1780371705065062,445.659526348114
48,100, , ,32,4,10,balanced,sockets,2.3578900000000003,1.1782714493945714,490.8477156162262
48,200, , ,256,8,200,balanced,cores,2.364925,1.1809922765334524,536.0756945610046
48,200,#pragma clang loop unrolling full,#pragma omp parallel for,256,32,200,balanced,sockets,2.3710649999999998,1.1849740729306877,585.0711274147034
48,100,#pragma clang loop unrolling full,#pragma omp parallel for,16,2,200,balanced,cores,2.3734200000000003,1.1865239069426334,632.9960939884186
48,100, , ,64,32,80,balanced,cores,2.354375,1.1882780027395827,674.4869787693024
32,200,#pragma clang loop unrolling full,#pragma omp parallel for,64,2,200,balanced,cores,2.3528450000000003,1.1882840647862265,718.9950022697449
48,100, , ,32,64,80,disabled,cores,2.37194,1.188960112005581,763.9230239391327
48,200, ,#pragma omp parallel for,32,64,128,balanced,cores,2.361415,1.1892383437888974,809.0229954719543
48,200,#pragma clang loop unrolling full,#pragma omp parallel for,96,4,64,disabled,sockets,2.3709949999999997,1.1902203731401975,853.2270512580872
48,200,#pragma clang loop unrolling full,#pragma omp parallel for,32,4,20,balanced,cores,2.37556,1.1906885644577399,897.3191726207733
48,100, ,#pragma omp parallel for,2,32,100,balanced,cores,2.36004,1.1912296290430635,941.8082191944122
48,100, , ,64,2,10,disabled,sockets,2.346905,1.1945181404235994,983.9871006011963
32,200,#pragma clang loop unrolling full, ,32,2,200,disabled,cores,2.365465,1.19852269666572,1028.8992102146149
48,200, , ,96,4,100,balanced,cores,2.44574,1.2001485556018625,1074.1517133712769
32,200, ,#pragma omp parallel for,4,8,200,disabled,cores,2.35603,1.2043870566875814,1117.8593146800995
48,100, , ,96,8,200,balanced,sockets,2.45668,1.2053241670384622,1161.1676859855652
48,200, , ,16,256,10,balanced,sockets,2.44029,1.2056166737071465,1201.923791885376
32,200,#pragma clang loop unrolling full,#pragma omp parallel for,4,2,64,balanced,cores,2.34952,1.2066065749144637,1248.4794747829437
48,100,#pragma clang loop unrolling full,#pragma omp parallel for,256,8,128,disabled,cores,2.3761099999999997,1.206957994714478,1293.143735408783
48,200,#pragma clang loop unrolling full, ,32,32,100,balanced,threads,2.352395,1.207870065133076,1336.9832513332367
