p1,p2,p3,p4,p5,exe_time,elapsed_sec
 , ,128,2048,4,0.166214,8.883707284927368
 , ,80,100,4,0.2083355,15.90759015083313
 , ,16,100,4,0.208177,23.037362813949585
 , ,20,100,4,0.213092,30.107643604278564
 , ,64,2048,4,0.1663085,36.759854793548584
 , ,20,100,4,0.21295150000000002,45.84655261039734
 , ,20,64,4,0.214179,52.908068895339966
 , ,80,2048,4,0.15962700000000002,59.379570960998535
 , ,20,32,4,0.22031299999999998,66.40769934654236
 , ,20,32,4,0.22007,73.64381551742554
 , ,8,100,4,0.20870850000000002,82.50385880470276
 , ,32,64,4,0.2090115,89.58377051353455
 , ,16,50,4,0.21222449999999998,96.51024222373962
 , ,64,128,4,0.213901,103.63568639755249
 , ,64,100,4,0.20984049999999999,110.6356508731842
 , ,80,80,4,0.216756,119.63995480537415
 , ,50,2048,4,0.16596650000000002,126.18338561058044
 , ,64,32,4,0.210669,132.84750604629517
 , ,16,128,4,0.2150845,139.8989713191986
 , ,20,16,4,0.21691349999999998,146.96354842185974
 , ,64,80,4,0.211213,156.1156930923462
 , ,8,2048,4,0.16914400000000002,165.18380331993103
 , ,32,80,4,0.2103555,172.23934412002563
 , ,20,80,4,0.214331,179.3840045928955
 , ,64,4,8,0.2785455,186.61564946174622
 , ,20,80,4,0.21434599999999998,195.46966862678528
 , ,16,20,4,0.211424,202.7398362159729
 , ,64,128,4,0.214012,209.73117566108704
 , ,80,80,4,0.2167735,216.85225987434387
 , ,96,2048,4,0.1664775,223.29987597465515
