p0,p1,p2,p3,p4,p5,exe_time,elapsed_sec
 , , ,128,50,20,33.5820515,112.7794725894928
 , , ,128,4,80,26.9994795,203.26746702194214
 , , ,128,100,256,14.641024,256.2155396938324
 , , ,32,128,100,30.2089975,355.6794624328613
 , , ,4,128,32,29.1465815,451.98343229293823
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,256,15.257504,508.4073677062988
 , , ,32,32,256,14.6322035,560.6756753921509
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,64,80,37.4863905,682.4314970970154
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,50,20,36.30113,800.8634672164917
 , , ,128,8,16,29.899305499999997,899.5595972537994
 , , ,32,4,4,30.2376805,1000.7595539093018
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,16,256,15.5565085,1056.047385931015
 , , ,128,100,256,14.6799565,1108.9035234451294
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,8,4,34.3651275,1220.9273657798767
 , , ,128,50,50,34.9420645,1334.787516593933
 , , ,32,16,16,30.159067,1435.9435124397278
 , , ,4,4,80,26.393417499999998,1523.8914732933044
 , , ,100,8,32,28.319715000000002,1617.6794209480286
 , , ,128,4,100,25.887321,1704.4635498523712
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,100,34.93782,1818.3435060977936
 , , ,4,128,256,14.4599485,1872.199672460556
 , , ,16,100,8,37.626002,1993.6677904129028
 , , ,128,128,256,14.671591,2046.6637213230133
 , , ,100,32,256,14.710983,2099.4393079280853
 , , ,128,100,256,14.7200865,2152.5955057144165
 , , ,100,32,64,31.177657,2256.9594910144806
 , , ,32,50,8,35.211870000000005,2372.0875742435455
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,64,28.180847,2465.4353425502777
 , , ,100,16,20,29.999851,2564.1596813201904
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,16,256,15.536432000000001,2618.9875824451447
