trial,generate,reject,close,sample,batch,prior,sample,external
0,23,44977,43470,495,1012,0,1.8680765628814697,0.13262104988098145
1,46,89954,86940,990,2024,0,3.697779417037964,0.26546692848205566
2,69,134931,130410,1485,3036,0,5.530470609664917,0.39925122261047363
3,92,179908,173880,1980,4048,0,7.363201856613159,0.531970739364624
4,115,224885,217350,2475,5060,0,9.18517780303955,0.6643531322479248
5,138,269862,260820,2970,6072,0,11.015093088150024,0.7972326278686523
6,161,314839,304290,3465,7084,0,12.839751720428467,0.9306457042694092
7,184,359816,347760,3960,8096,0,14.693755388259888,1.063542366027832
8,207,404793,391230,4455,9108,0,16.517168045043945,1.1950147151947021
9,230,449770,434700,4950,10120,0,18.354485750198364,1.326460838317871
10,253,494747,478170,5445,11132,0,20.176948308944702,1.4575958251953125
11,276,539724,521640,5940,12144,0,21.99704122543335,1.5893707275390625
12,299,584701,565110,6435,13156,0,23.827707052230835,1.7217962741851807
13,322,629678,608580,6930,14168,0,25.666043996810913,1.8534061908721924
14,345,674655,652050,7425,15180,0,27.650063276290894,2.0114097595214844
15,368,719632,695520,7920,16192,0,29.490962505340576,2.1432995796203613
16,391,764609,738990,8415,17204,0,31.32150411605835,2.27461838722229
17,414,809586,782460,8910,18216,0,33.132659673690796,2.40584397315979
18,437,854563,825930,9405,19228,0,34.95307493209839,2.5364911556243896
19,460,899540,869400,9900,20240,0,36.777623891830444,2.6675844192504883
20,483,944517,912870,10395,21252,0,38.60395693778992,2.7990150451660156
21,506,989494,956340,10890,22264,0,40.42803978919983,2.9309349060058594
22,529,1034471,999810,11385,23276,0,42.310086488723755,3.062896966934204
23,552,1079448,1043280,11880,24288,0,44.14588475227356,3.1943249702453613
24,575,1124425,1086750,12375,25300,0,45.96206259727478,3.3256099224090576
25,598,1169402,1130220,12870,26312,0,47.784435510635376,3.4568238258361816
26,621,1214379,1173690,13365,27324,0,49.61579871177673,3.5880913734436035
27,644,1259356,1217160,13860,28336,0,51.441816091537476,3.719928026199341
28,667,1304333,1260630,14355,29348,0,53.27061152458191,3.851902484893799
29,690,1349310,1304100,14850,30360,0,55.09834122657776,3.9831337928771973
30,713,1394287,1347570,15345,31372,0,56.92536687850952,4.114232540130615
31,736,1439264,1391040,15840,32384,0,58.745235443115234,4.245465517044067
32,759,1484241,1434510,16335,33396,0,60.62707471847534,4.379437685012817
33,782,1529218,1477980,16830,34408,0,62.51059651374817,4.51209020614624
34,805,1574195,1521450,17325,35420,0,64.33045768737793,4.643605709075928
35,828,1619172,1564920,17820,36432,0,66.1556077003479,4.775075435638428
36,851,1664149,1608390,18315,37444,0,67.96973514556885,4.9078474044799805
37,874,1709126,1651860,18810,38456,0,69.84720873832703,5.039468765258789
38,897,1754103,1695330,19305,39468,0,71.66335320472717,5.1713855266571045
39,920,1799080,1738800,19800,40480,0,73.47968935966492,5.30300235748291
40,943,1844057,1782270,20295,41492,0,75.30252361297607,5.435184717178345
41,966,1889034,1825740,20790,42504,0,77.12001848220825,5.567021131515503
42,989,1934011,1869210,21285,43516,0,78.94366717338562,5.69857931137085
43,1012,1978988,1912680,21780,44528,0,80.7681827545166,5.830197811126709
